OPCODE;MAINOUTITEMCODE;PRODQTY;REMAINQTY;PRODSTART;PRODEND;MAINRESOURCE;MASTEROPCODE;DEPARTMENT;PREVOPCODE;NEXTOPCODE
"I_100669:10";"100669";"641.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M436121:10;M446952:10;M442420:10;M444528:10;M456197:10;M484312:10;M499550:10;M337636:10";
"I_100682:10";"100682";"120.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M453794:10;M489661:10;M497027:10;M497026:10;M481560:10";
"I_100692:10";"100692";"538.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100697:10";"100697";"806.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M495264:10;M279312:10";
"I_100706:10";"100706";"254.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M445952:10;M499533:10;M453711:10;M453705:10";
"I_100719:10";"100719";"115.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M442436:10;M480737:10;M442487:10";
"I_100726:10";"100726";"1023.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M448287:10;M458675:10;M463663:10;M437306:10;M454110:10;M456219:10;M491009:10;M453695:10;M473880:10";
"I_100734:10";"100734";"690.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M437501:10;M404759:10;M409742:10;M497307:10;M486196:10";
"I_100741:10";"100741";"17.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M437315:10";
"I_100748:10";"100748";"335.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M472725:10;M463663:10;M456198:10;M456201:10;M489139:10";
"I_100756:10";"100756";"516.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M452127:10";
"I_100763:10";"100763";"296.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M337636:10";
"I_100779:10";"100779";"15.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100787:10";"100787";"12.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
